Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Bhutan,BTN,558442,587207,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486
"Population, total",SP.POP.TOTL,Bolivia,BOL,7096194,8592656,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,4179350,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943
"Population, total",SP.POP.TOTL,Botswana,BWA,1341474,1726985,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423
"Population, total",SP.POP.TOTL,Brazil,BRA,150706446,175873720,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15617,20104,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,261928,333926,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9131361,11882888,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683
"Population, total",SP.POP.TOTL,Burundi,BDI,5483793,6307659,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,364563,458251,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925
"Population, total",SP.POP.TOTL,Cambodia,KHM,8910808,12118841,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023
"Population, total",SP.POP.TOTL,Cameroon,CMR,11430520,15091594,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,26027,39658,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2809221,3759170,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154
"Population, total",SP.POP.TOTL,Chad,TCD,5827069,8259137,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,145306,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683
"Population, total",SP.POP.TOTL,Chile,CHL,13342868,15351799,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,32601393,39215135,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562
"Population, total",SP.POP.TOTL,Comoros,COM,431119,536758,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,35987541,48616317,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118
